index,concreteness,disposition,reason,repaired_reference,reference_changed,in_reading_score,score_track
338,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
339,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
340,Concrete,SPATIAL,"question asks for a location; score by box overlap, not by a text judge",,False,False,overlap
341,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
342,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
343,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
344,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
345,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
346,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
347,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
348,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
349,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
350,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
351,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
352,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: crown.,True,True,reading
353,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
354,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
355,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
356,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
357,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
358,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #48.,True,True,reading
359,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
360,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
361,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
362,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
363,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
364,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: wisdom tooth, filling.",True,True,reading
365,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
366,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
367,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
368,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
369,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
370,Concrete,SPATIAL,"question asks for a location; score by box overlap, not by a text judge",,False,False,overlap
371,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
372,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
373,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
374,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
375,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
376,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #35, #41, #33, #32, #23, #45, #28, #17, #43.",True,True,reading
377,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
378,Vague,KEEP,no defect found by inspection of the released files,,False,True,reading
379,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
380,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
381,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
382,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
383,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
384,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
385,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
386,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
387,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
388,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: wisdom tooth.,True,True,reading
389,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
390,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
391,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
392,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
393,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
394,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: periapical lesions (abscess), root fracture.",True,True,reading
395,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
396,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
397,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
398,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
399,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
400,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: implant.,True,True,reading
401,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
402,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
403,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
404,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
405,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: wisdom tooth.,True,True,reading
406,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #48, #18, #38, #28.",True,True,reading
407,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
408,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
409,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
410,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
411,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
412,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #46: crown. Tooth #36: filling. Tooth #16: crown. Tooth #17: filling. Tooth #37: crown, implant.",True,True,reading
413,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
414,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
415,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
416,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
417,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
418,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #32, #31, #16, #45, #11, #14, #12, #26, #21, #13, #37.",True,True,reading
419,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
420,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
421,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
422,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
423,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
424,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: filling.,True,True,reading
425,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
426,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
427,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
428,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
429,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #25: filling. Tooth #36: filling. Tooth #26: filling. Tooth #47: filling. Tooth #17: filling. Tooth #37: root canal treatment. Tooth #46: crown, root canal treatment. Tooth #15: filling. Tooth #27: filling. Tooth #16: filling.",True,True,reading
430,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
431,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
432,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
433,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
434,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
435,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: wisdom tooth.,True,True,reading
436,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
437,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
438,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
439,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
440,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #38: filling. Tooth #17: filling. Tooth #18: filling. Tooth #48: filling. Tooth #37: filling. Tooth #47: filling. Tooth #27: filling.,True,True,reading
441,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
442,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
443,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
444,Vague,KEEP,no defect found by inspection of the released files,,False,True,reading
445,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
446,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: wisdom tooth.,True,True,reading
447,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
448,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
449,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
450,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
451,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
452,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #47: caries.,True,True,reading
453,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
454,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
455,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
456,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
457,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
458,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: wisdom tooth.,True,True,reading
459,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
460,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
461,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
462,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
463,Concrete,MALFORMED,reference answer is not valid JSON in the released file; left unchanged,,False,False,excluded
464,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #48: impacted.,True,True,reading
465,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
466,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
467,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
468,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
469,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #38: periapical lesions (cyst).,True,True,reading
470,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
471,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
472,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
473,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
474,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: periapical lesions (granuloma), crown, root canal treatment.",True,True,reading
475,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
476,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
477,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
478,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
479,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
480,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #36: caries.,True,True,reading
481,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
482,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
483,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
484,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
485,Vague,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #36: caries.,True,True,reading
486,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
487,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
488,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
489,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
490,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
491,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #46: periapical lesions (granuloma).,True,True,reading
492,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
493,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
494,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
495,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: mandibular canal.,True,True,reading
496,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
497,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
498,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
499,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
500,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
501,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #37: periapical lesions (abscess).,True,True,reading
502,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
503,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
504,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
505,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
506,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: periapical lesions (cyst), crown.",True,True,reading
507,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
508,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
509,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
510,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
511,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
512,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: wisdom tooth.,True,True,reading
513,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
514,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
515,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
516,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
517,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
518,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: mandibular canal.,True,True,reading
519,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
520,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
521,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
522,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
523,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: wisdom tooth.,True,True,reading
524,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
525,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
526,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
527,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
528,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
529,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: periapical lesions (abscess).,True,True,reading
530,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
531,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
532,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
533,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
534,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
535,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #38.,True,True,reading
536,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
537,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
538,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
539,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
540,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
541,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: mandibular canal.,True,True,reading
542,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
543,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
544,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
545,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
546,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
547,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Tooth #16, #46, #37, #27.",True,True,reading
548,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
549,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
550,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
551,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
552,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: crown.,True,True,reading
553,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: wisdom tooth, crown.",True,True,reading
554,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
555,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
556,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
557,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
558,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
559,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Tooth #47: caries.,True,True,reading
560,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
561,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
562,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
563,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
564,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,"Findings: filling, root canal treatment.",True,True,reading
565,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
566,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
567,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
568,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
569,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
570,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: maxillary sinus.,True,True,reading
571,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
572,Broad,KEEP,no defect found by inspection of the released files,,False,True,reading
573,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
574,Broad,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",,False,True,reading
575,Concrete,KEEP,no defect found by inspection of the released files,,False,True,reading
576,Concrete,REPAIR,reference answer was a coordinate list; rewritten as the sentence it encodes,Findings: wisdom tooth.,True,True,reading
577,Vague,SEPARATE,"no determinate answer; score as writing quality, never as reading accuracy",,False,False,writing
