index,disposition,reason,original_answer,balanced_answer,flag_reason,in_reading_score
406,KEEP,no defect found by inspection of the released files,B,C,,True
407,KEEP,no defect found by inspection of the released files,B,C,,True
408,KEEP,no defect found by inspection of the released files,C,A,,True
409,KEEP,no defect found by inspection of the released files,C,A,,True
410,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",D,B,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
411,KEEP,no defect found by inspection of the released files,C,A,,True
412,KEEP,no defect found by inspection of the released files,B,A,,True
413,KEEP,no defect found by inspection of the released files,B,A,,True
414,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,C,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
415,KEEP,no defect found by inspection of the released files,C,D,,True
416,KEEP,no defect found by inspection of the released files,C,D,,True
417,KEEP,no defect found by inspection of the released files,C,A,,True
418,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,C,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
419,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,D,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
420,KEEP,no defect found by inspection of the released files,B,B,,True
421,KEEP,no defect found by inspection of the released files,B,C,,True
422,KEEP,no defect found by inspection of the released files,D,D,,True
423,KEEP,no defect found by inspection of the released files,B,B,,True
424,KEEP,no defect found by inspection of the released files,B,A,,True
425,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,A,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
426,DROP,unanswerable: asks about a box at coordinates that do not appear on the image,A,A,,False
427,KEEP,no defect found by inspection of the released files,C,C,,True
428,KEEP,no defect found by inspection of the released files,C,D,,True
429,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",C,A,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
430,KEEP,no defect found by inspection of the released files,D,C,,True
431,KEEP,no defect found by inspection of the released files,D,B,,True
432,KEEP,no defect found by inspection of the released files,D,D,,True
433,KEEP,no defect found by inspection of the released files,C,C,,True
434,KEEP,no defect found by inspection of the released files,B,A,,True
435,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",D,B,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
436,KEEP,no defect found by inspection of the released files,C,B,,True
437,KEEP,no defect found by inspection of the released files,B,A,,True
438,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",A,B,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
439,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,C,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
440,KEEP,no defect found by inspection of the released files,D,C,,True
441,KEEP,no defect found by inspection of the released files,D,C,,True
442,KEEP,no defect found by inspection of the released files,D,B,,True
443,KEEP,no defect found by inspection of the released files,B,D,,True
444,KEEP,no defect found by inspection of the released files,D,A,,True
445,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,A,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
446,KEEP,no defect found by inspection of the released files,D,D,,True
447,KEEP,no defect found by inspection of the released files,C,C,,True
448,KEEP,no defect found by inspection of the released files,B,A,,True
449,KEEP,no defect found by inspection of the released files,D,A,,True
450,KEEP,no defect found by inspection of the released files,B,C,,True
451,KEEP,no defect found by inspection of the released files,B,A,,True
452,KEEP,no defect found by inspection of the released files,D,B,,True
453,KEEP,no defect found by inspection of the released files,B,D,,True
454,KEEP,no defect found by inspection of the released files,B,B,,True
455,KEEP,no defect found by inspection of the released files,D,B,,True
456,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",D,D,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
457,KEEP,no defect found by inspection of the released files,B,D,,True
458,KEEP,no defect found by inspection of the released files,C,C,,True
459,KEEP,no defect found by inspection of the released files,C,A,,True
460,KEEP,no defect found by inspection of the released files,C,D,,True
461,KEEP,no defect found by inspection of the released files,B,B,,True
462,KEEP,no defect found by inspection of the released files,A,D,,True
463,KEEP,no defect found by inspection of the released files,B,D,,True
464,KEEP,no defect found by inspection of the released files,A,C,,True
465,KEEP,no defect found by inspection of the released files,A,C,,True
466,KEEP,no defect found by inspection of the released files,A,D,,True
467,KEEP,no defect found by inspection of the released files,B,C,,True
468,KEEP,no defect found by inspection of the released files,A,B,,True
469,KEEP,no defect found by inspection of the released files,A,A,,True
470,KEEP,no defect found by inspection of the released files,C,C,,True
471,KEEP,no defect found by inspection of the released files,B,B,,True
472,KEEP,no defect found by inspection of the released files,B,D,,True
473,KEEP,no defect found by inspection of the released files,D,A,,True
474,KEEP,no defect found by inspection of the released files,A,D,,True
475,KEEP,no defect found by inspection of the released files,C,A,,True
476,KEEP,no defect found by inspection of the released files,B,B,,True
477,KEEP,no defect found by inspection of the released files,D,D,,True
478,KEEP,no defect found by inspection of the released files,A,C,,True
479,KEEP,no defect found by inspection of the released files,B,A,,True
480,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,B,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
481,KEEP,no defect found by inspection of the released files,C,A,,True
482,KEEP,no defect found by inspection of the released files,B,C,,True
483,KEEP,no defect found by inspection of the released files,C,D,,True
484,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",D,C,bone loss: the one topic the dentist audit found the key repeatedly wrong on,True
485,KEEP,no defect found by inspection of the released files,C,B,,True
486,KEEP,no defect found by inspection of the released files,C,A,,True
487,KEEP,no defect found by inspection of the released files,B,C,,True
488,KEEP,no defect found by inspection of the released files,B,B,,True
489,FLAG,"kept and scored, but sits on ground known to be unreliable (see flag_reason)",B,D,tooth codes are valid in BOTH the FDI and US Universal systems and mean different teeth in each; the benchmark never states which it uses,True
490,KEEP,no defect found by inspection of the released files,B,B,,True
